epoch,step,val_accuracy,train_accuracy
0,72,0.7124459147453308,
0,72,,0.6557429432868958
1,145,0.7140151262283325,
1,145,,0.714846134185791
2,218,0.72435063123703,
2,218,,0.7212718725204468
3,291,0.7262986898422241,
3,291,,0.7254722714424133
4,364,0.7244047522544861,
4,364,,0.7285701632499695
5,437,0.7277597188949585,
5,437,,0.7324932813644409
6,510,0.7273809313774109,
6,510,,0.7335619330406189
7,583,0.727543294429779,
7,583,,0.7359766960144043
8,656,0.7254869937896729,
8,656,,0.7377555966377258
9,729,0.7237012982368469,
9,729,,0.7407317161560059
