epoch,step,val_accuracy,train_accuracy
0,72,0.7182359099388123,
0,72,,0.6732479929924011
1,145,0.7212121486663818,
1,145,,0.71575927734375
2,218,0.7258116602897644,
2,218,,0.7214207053184509
3,291,0.7277597188949585,
3,291,,0.7261013388633728
4,364,0.7304653525352478,
4,364,,0.7287189960479736
5,437,0.7290584444999695,
5,437,,0.7319927215576172
6,510,0.7284632325172424,
6,510,,0.7344480156898499
7,583,0.7290584444999695,
7,583,,0.7360104918479919
8,656,0.7288960814476013,
8,656,,0.7395344972610474
9,729,0.7270021438598633,
9,729,,0.7422603964805603
