step,epoch,val_accuracy,train_accuracy
72,0,0.7000541090965271,
72,0,,0.6297355890274048
145,1,0.711309552192688,
145,1,,0.6944799423217773
218,2,0.7130411267280579,
218,2,,0.704477071762085
291,3,0.7140692472457886,
291,3,,0.7073584794998169
364,4,0.7153679728507996,
364,4,,0.7112410068511963
437,5,0.7196969985961914,
437,5,,0.7112748026847839
510,6,0.7191558480262756,
510,6,,0.7142982482910156
583,7,0.7192099690437317,
583,7,,0.7159892320632935
656,8,0.7185065150260925,
656,8,,0.7179237604141235
729,9,0.7215368151664734,
729,9,,0.7193171381950378
