epoch,step,val_accuracy,train_accuracy
0,72,0.7165043354034424,
0,72,,0.6923493146896362
1,145,0.7180736064910889,
1,145,,0.717639684677124
2,218,0.72061687707901,
2,218,,0.7227937579154968
3,291,0.7231601476669312,
3,291,,0.7260810732841492
4,364,0.723755419254303,
4,364,,0.7290503978729248
5,437,0.7250540852546692,
5,437,,0.7332305312156677
6,510,0.7264069318771362,
6,510,,0.7348403334617615
7,583,0.724296510219574,
7,583,,0.7376947402954102
8,656,0.723809540271759,
8,656,,0.7390880584716797
9,729,0.7271103858947754,
9,729,,0.7408737540245056
