epoch,step,val_accuracy,train_accuracy
0,72,0.7134199142456055,
0,72,,0.6616681218147278
1,145,0.7179112434387207,
1,145,,0.7169429659843445
2,218,0.7199134230613708,
2,218,,0.7204467058181763
3,291,0.7205086350440979,
3,291,,0.7238354086875916
4,364,0.7235389351844788,
4,364,,0.727744996547699
5,437,0.7277597188949585,
5,437,,0.7311201691627502
6,510,0.7258116602897644,
6,510,,0.7338933944702148
7,583,0.7262986898422241,
7,583,,0.7358481884002686
8,656,0.7260281443595886,
8,656,,0.7380058765411377
9,729,0.7267315983772278,
9,729,,0.7394059896469116
