step,val_accuracy,epoch,train_accuracy
72,0.6413419842720032,0,
72,,0,0.6055748462677002
145,0.6682900190353394,1,
145,,1,0.6575015187263489
218,0.6808441281318665,2,
218,,2,0.6756153702735901
291,0.687554121017456,3,
291,,3,0.684726357460022
364,0.6947510838508606,4,
364,,4,0.6886494159698486
437,0.6932900547981262,5,
437,,5,0.6945002675056458
510,0.6988095045089722,6,
510,,6,0.6960356831550598
583,0.701839804649353,7,
583,,7,0.6995055675506592
656,0.7054112553596497,8,
656,,8,0.7035571336746216
729,0.7013528347015381,9,
729,,9,0.7022178769111633
802,0.7045995593070984,10,
802,,10,0.703563928604126
875,0.7030302882194519,11,
875,,11,0.7079740166664124
948,0.7076298594474792,12,
948,,12,0.7070135474205017
1021,0.7065476179122925,13,
1021,,13,0.7085219025611877
1094,0.7058441638946533,14,
1094,,14,0.7101249098777771
1167,0.7097402811050415,15,
1167,,15,0.7096040844917297
1240,0.709956705570221,16,
1240,,16,0.7101790308952332
1313,0.7073051929473877,17,
1313,,17,0.7107945680618286
1386,0.7079545259475708,18,
1386,,18,0.7099422812461853
1459,0.7114718556404114,19,
1459,,19,0.7108013033866882
1532,0.7096861600875854,20,
1532,,20,0.7110719084739685
1605,0.7112013101577759,21,
1605,,21,0.7110719084739685
1678,0.7083333134651184,22,
1678,,22,0.7082851529121399
1751,0.7090367674827576,23,
1751,,23,0.7101113796234131
1824,0.7090908885002136,24,
1824,,24,0.708907425403595
1897,0.7075216174125671,25,
1897,,25,0.7092929482460022
1970,0.7125540971755981,26,
1970,,26,0.7106457352638245
2043,0.7121753096580505,27,
2043,,27,0.7110651135444641
2116,0.7089827060699463,28,
2116,,28,0.7116400599479675
2189,0.713203489780426,29,
2189,,29,0.7114844918251038
2262,0.7082251310348511,30,
2262,,30,0.712451696395874
2335,0.7108225226402283,31,
2335,,31,0.7122690677642822
2408,0.7132575511932373,32,
2408,,32,0.7115792036056519
2481,0.7111471891403198,33,
2481,,33,0.7127628922462463
2554,0.7135822772979736,34,
2554,,34,0.7121270298957825
2627,0.7133116722106934,35,
2627,,35,0.7122217416763306
2700,0.7117965221405029,36,
2700,,36,0.7127425670623779
2773,0.7119588851928711,37,
2773,,37,0.7126343250274658
2846,0.7121753096580505,38,
2846,,38,0.7129184603691101
2919,0.7093073725700378,39,
2919,,39,0.7126817107200623
2992,0.7105519771575928,40,
2992,,40,0.7122217416763306
3065,0.7115800976753235,41,
3065,,41,0.7126546502113342
3138,0.7111471891403198,42,
3138,,42,0.7128778696060181
3211,0.7116342186927795,43,
3211,,43,0.7132633924484253
3284,0.7091450095176697,44,
3284,,44,0.711856484413147
3357,0.7113636136054993,45,
3357,,45,0.7121879458427429
3430,0.7067099809646606,46,
3430,,46,0.7111868858337402
3503,0.7112554311752319,47,
3503,,47,0.7112071514129639
3576,0.7121211886405945,48,
3576,,48,0.7113627195358276
3649,0.7109848260879517,49,
3649,,49,0.7112680077552795
