step,val_accuracy,epoch,train_accuracy
72,0.6360389590263367,0,
72,,0,0.565133273601532
145,0.6439934968948364,1,
145,,1,0.6304119825363159
218,0.6540584564208984,2,
218,,2,0.6433649063110352
291,0.6698592901229858,3,
291,,3,0.6553303003311157
364,0.6825757622718811,4,
364,,4,0.6707115173339844
437,0.6849567294120789,5,
437,,5,0.6811279654502869
510,0.6919913291931152,6,
510,,6,0.6890958547592163
583,0.6974567174911499,7,
583,,7,0.6932962536811829
656,0.6994588971138,8,
656,,8,0.693418025970459
729,0.6938311457633972,9,
729,,9,0.69693523645401
802,0.7055194973945618,10,
802,,10,0.6995393633842468
875,0.7053030133247375,11,
875,,11,0.7001345753669739
948,0.7076839804649353,12,
948,,12,0.702677845954895
1021,0.6928571462631226,13,
1021,,13,0.7039223909378052
1094,0.7082251310348511,14,
1094,,14,0.7040103077888489
1167,0.7077381014823914,15,
1167,,15,0.7080686688423157
1240,0.7109848260879517,16,
1240,,16,0.7061815857887268
1313,0.7121753096580505,17,
1313,,17,0.7073314189910889
1386,0.7087662220001221,18,
1386,,18,0.7082648277282715
1459,0.7089827060699463,19,
1459,,19,0.7080754637718201
1532,0.709956705570221,20,
1532,,20,0.7093268036842346
1605,0.7125540971755981,21,
1605,,21,0.7085489630699158
1678,0.7108766436576843,22,
1678,,22,0.7087924480438232
1751,0.7121753096580505,23,
1751,,23,0.7086368799209595
1824,0.7134740352630615,24,
1824,,24,0.7093064785003662
1897,0.7076298594474792,25,
1897,,25,0.7092118263244629
1970,0.7129328846931458,26,
1970,,26,0.7091373801231384
2043,0.7139610648155212,27,
2043,,27,0.7096920609474182
2116,0.7116342186927795,28,
2116,,28,0.7098070383071899
2189,0.7106601595878601,29,
2189,,29,0.709847629070282
2262,0.7140692472457886,30,
2262,,30,0.7102602124214172
2335,0.7117965221405029,31,
2335,,31,0.7107675075531006
2408,0.7148268222808838,32,
2408,,32,0.7093132734298706
2481,0.7144480347633362,33,
2481,,33,0.7102196216583252
2554,0.7109848260879517,34,
2554,,34,0.7092997431755066
2627,0.7124999761581421,35,
2627,,35,0.7101317048072815
2700,0.7127705812454224,36,
2700,,36,0.7110109925270081
2773,0.7142316102981567,37,
2773,,37,0.7111124396324158
2846,0.7128247022628784,38,
2846,,38,0.708948016166687
2919,0.7135281562805176,39,
2919,,39,0.7099152207374573
2992,0.7126082181930542,40,
2992,,40,0.7101655006408691
3065,0.7134199142456055,41,
3065,,41,0.711301863193512
3138,0.713690459728241,42,
3138,,42,0.7116467952728271
3211,0.7151514887809753,43,
3211,,43,0.7112612724304199
3284,0.7150974273681641,44,
3284,,44,0.7112071514129639
3357,0.7148268222808838,45,
3357,,45,0.7108148336410522
3430,0.7129328846931458,46,
3430,,46,0.7106322050094604
3503,0.713690459728241,47,
3503,,47,0.7110448479652405
3576,0.713744580745697,48,
3576,,48,0.7110515832901001
3649,0.7144480347633362,49,
3649,,49,0.7103684544563293
